,Building,Room #,"List any containment facilities or equipment (biosafety cabinets, etc.) and their last certification dates.",CertificationDate,id
498,MRB1,4204F TC shared,,,2018001401
499,MRB1,4229 Glasswash and autoclave,,,2018001401
500,Boyce Hall,5413,,,20170029
501,Boyce Hall,5471,"Fume Hood, Chemical Cabinet",12/22/2014,20170029
502,Greenhouse,1B,,,20170009
503,Greenhouse,2 (PTRC transgenic greenhouse),,,20170009
504,Growth Chamber Facility 3,Growth chambers 301 and 302,,,20170009
505,Arabidopsis Growth Facilities,MH3,,,20170009
506,Genomics,"3211, 3213, 3221, 3219B, 3239",,,20170009
507,Spieth,"2317, 2305, 2304",2 Biosafety cabinets,7/31/2017,20180012
508,Batchelor/Keen,Stem Cell Core Facility,Biosafty cabinets,7/31/2017,20180012
509,Webber Hall,2343,,9/14/2018,20190008
510,Boyce,"2407, 2407A, 2425, 2429",2407A-Biosefty Cabinet,9/14/2018,20190008
511,Boyce Hall,"2409, 2421, 2447, 2449",2409-Biosafety Cabinet,9/14/2018,20190008
512,Boyce Hall,"2413, 2415, 2461",,,20190008
513,Green house,"7C, 8A, 16-9",,,20190008
514,Rubidoux Citrus Quarantine Facilities (CCPP),,,,20190008
515,Plant Transformation Center,,,,20190008
516,Science Laboratories 1,309; 309A; 309B,,,2018002501
517,Science Laboratories 1,304B; 304C,Shared biological safety cabinet is located in Science Labs 304B; shared CO2 incubator is located in Science Labs 304C,4/21/2017,2018002501
518,Science Laboratories 1,304A,Additional shared biological safety cabinet,7/29/2019,2018002501
519,MSE,276,,,20180007
520,Bourns Hall B,354,,,20180007
521,Webber,"1257, 1260",2 biosafety cabinets in 1257,2/11/2014,20170043
522,Genomics,3213A,,,20170018
523,Genomcis,3223,,,20170018
524,Growth Chamber Facility #1,#1,,,20170018
525,Greenhouse 1C,1C,,,20170018
526,Genomics,3229,,,20170018
527,Insectary and Quarantine Facility,138,Room 138 is separated the main corridor by an entryway anteroom. This anteroom has a UV light to attract and kill flying insects. Room 138 will contain insect growth incubators for raising transgenic whiteflies. There will be a yellow sticky cards in room ; yellow is attractive to whiteflies and this will remove any escapees.,3/14/2017,20170018
528,Insectary and Quarantine Facility,"352, 353 and 341","We will maintain B. tabaci Q (MED1)colonies in room 352; plants are maintained in bugdorms. We will perform B. tabaci Q infestations of alfalfa in room 353 plants are maintained in bugdorms. Once adults are removed from plants, infested alfalfa plants with immobile nymphs will be transferred to the adjacent quarantine greenhouse; plants are maintained in bugdorms. 341 is a laboratory. We will photograph infested leaves in this lab at the end of the experiment.",3/14/2017,20170018
529,Chemical Sciences,347,,,20170014
530,Chemical Sciences,341,,,20170014
531,Chemical Sciences,339,,,20170014
532,Chemical Sciences,349,,,20170014
533,Chemical Sciences,345,Biosafety Cabinet,9/19/2016,20170014
