,Will cultures of any recombinant organisms listed above exceed a volume of 10 liters?,"If so, where will the cultures be grown?","Does your experiment involve the transfer of a drug resistance trait to any microorganism, plant, or insect that does not acquire that trait naturally?","If “yes”, describe any potential environmental or health hazards of the experiments, including whether acquiring such a trait would compromise the use of the drug in medicine or agriculture.",Are you expressing genes encoding toxins with LD 50 less that 10 ng/kg of body weight?,"If “yes”, describe the toxic product and safety precautions.","Are you using hosts or vectors of rDNA (excluding E. coli K-12) that are viable pathogens of animals, plants, or microbes?","If “yes”, describe any potential environmental or health hazards, containment precautions, and disposal protocols.",Are you using recombinant DNA molecules containing the partial genome of any eukaryotic (plant or animal) virus?,"If “yes”, describe the molecules, including genetic maps and the fraction of virus genome present, and safety precautions.","Are your experiments likely to enhance the pathogenicity or extend the host range of a viral vector (e.g., introduction of novel control elements or a oncogene)?","If “yes”, describe the hazards and safety precautions.","Will you be using genes involved in cell cycle control in animals (oncogene, tumor suppressor, cytokine, etc.)?","If “yes”, describe the potential hazards.","Medical surveillance requirements or practices that you would recommend (antibody titering, etc.)?","If “yes”, list your recommendations in section 5."
58,False,,True,"Plants contain resistance to herbicides. These plants are BL1-P as outlined in Section III-E-2-a of the NIH guidelines. In addition, tobacco cell culture is exempt from NIH guidelines according to Section III-F-8. Minimal potential environmental hazard.",False,,False,"The only hosts this lab uses are 1) E. coli K12 derivatives, which are exempt (Section III-F-8, NIH guidelines) and 2) A disarmed Argrobacterium tumefaciens that does not have the ability to produce crown gall disease. Our standard operating procedure is to autoclave or otherwise destroy all biological material before disposal.",True,Standard 35S CaMV promoter of viral origin. This promoter has no potential to harm the environment. All recombinant material is stored in secondary containment and autoclaved after use.,False,,False,,False,
59,False,,True,Standard antibiotic resistance marker genes will be used to screen for recombinant DNA in E.coli AND YEAST. This process is widely used by most molecular biology labs and such traits will not compromise the use of the drug in medicine and agriculture.,False,,False,,False,,False,,False,,False,
60,False,,False,,False,,False,,True,"For the generation of recombinant replication deficient AAV, the following packaging constructs will be used: AdDelta, and AAV2rep/AAV2Cap, AAV2rep/AAV8Cap or AAV2rep/AAV9Cap. AdDelta provides the adenovirus helper genes E2, E4, and VA RNA genes. The plasmids AAVCap/Rev carry the replication and capsid genes without the AAV ITRs (AAV helper). Replication deficient lentivirus will be generated by transfecting HEK293T cells with lentiviral transfer vector and packaging constructs (pMDL/pRRE, pRSV-Rev and pVSVG): pMDLg/pRRE includes Gag and Pol (NOT Tat); pRSV-Rev includes ONLY Rev, and pVSVG includes only the VSVG envelope.",False,,False,,False,
61,False,,False,,False,,True,"Virus vectors are plant pathogens. All tests will be performed in locked growth chamber facility, with all materials autoclave-destroyed following experimentation and before release from facility.",False,,False,,False,,False,
62,False,,True,no potential environmental hazards,False,,True,There are no foreseen environmental hazards. We will contain the organisms containing the rDNA by autoclaving cultures and plants inoculated with said organisms.,False,,False,,False,,False,
63,False,,True,The strains will only be maintained under laboratory conditions. They pose no hazard to the environment.,False,,False,,False,,False,,False,,False,
64,False,,False,,False,,False,,True,"Aside from the recombinant adenovirus vector, we using short to very short nucleotide sequences from CMV promoter; SV40 promoter, replication origin and poly A region; VSV tag; HA tag.",False,,True,"We do experiments with tumor suppressor wt and mutant p53. There are no potential hazards as p53 is rapidly degraded in normal cells and typically arrests cell growth, not promote it. We also do experiments with oncogenic kinases such as PKC, Src, Abl, etc. in transfection systems. These have been used in many labs around the world and there is no risk associated from using them in transfection systems.",False,
65,False,,True,"We use antibiotic-resistance and herbicide-resistance genes as selectable markers in E. coli, Agrobacterium, Arabidopsis, rice, tomato, maize, and Brachypodium distachyon plants. All bacterial cultures will be autoclaved or treated with bleach prior to disposal. Transgenic plants will be grown in an enclosed growth facility. Access to this facility is limited, and plants will be disposed of by autoclaving following termination of experiments.",False,,True,"Agrobacterium tumefaciens strain GV3101 is a plant pathogen, but is severely attenuated and is not pathogenic in the state in which we work with it. All cultures will be autoclaved prior to disposal.",True,"Regulatory sequences (promoter) from the 35S gene of Cauliflower Mosaic Virus. This sequence alone is not infective. Barley Stripe Mosaic Virus will be used for virus-induced gene silencing in maize seedlings. The BSMV gamma subgenomic RNA is modified to contain a portion of the gene targeted for silencing. BSMV infections will be conducted in GC301, and all plant material will be autoclaved before disposal.",False,,False,,False,
66,False,,False,,False,,False,,False,"Method of transformation is not yet determined and could be a virus. The details of the method will be provide once the method is determined. The packaging portion of the viral delivery system is in Addgene #12251; the transfer vector containing the inducible stress reporter is in Addgene #19319, the envelope vector is Addgene # 12259, and the rev vector is Addgene #12253. The maps and safety precautions of each viral component are shown in: https://www.addgene.org/viral-vectors/lentivirus/lenti-guide/",False,,False,Exposure to toxicants could affect cell proliferation. Viral transfection will not affect cell proliferation. Procedures are done in a biosafety cabinet PPE used includes face mask.,False,
67,False,,False,,False,,False,,True,Selected proteins from citrus pathogens All the E.coli cultures are going to be destroyed by autoclaving and/or bleach treatment before discarding,False,,False,,False,
68,False,,False,,False,,False,,True,"We are proposing the use of commercial adenoviral (Stratagene)and lentiviral vector systems (clontech, invitrogen) and our expression vectors have viral promoters.",False,,True,"Only in the sense of expressing hormones in human cells grown as tumors in animals. Our intent, however, is to reduce tumorigenicity",False,
69,False,,True,Plants and Agrobacterium will acquire plasmids or T-DNAs with antibiotic resistance genes. There are no known health or environmental hazards.,False,,False,,True,I guess in the strictest sense yes. I routinely use the 35S promoter from CaMV. THis is a strong constitutive promoter; no virulence factors are associated with it. We will also use Viral-induced gene silencing; the tobacco rattle virus will be used.,False,,False,,False,
70,False,,False,,False,,False,,True,SV40 large T antigen gene will be involved. The manipulation of the plasmid and transformation will be performed in biosafety cabinet.,False,,True,"We will always handle the transformation of these cells in biosafety cabinet. All the relevant cell culture manipulation (subculture, medium addition, etc.) will also be performed in biosafety cabinet.",False,
