,General features of the DNA,Species from which DNA originated,"Species to receive DNA, type of vector, and transformation method",id
114,"translation initiation factor 4B and poly(A)-binding protein expressed behind the 35S promoter; neomycin phosphotransferase, constitutively expressed","tobacco, maize, wheat, Arabidopsis","tobacco, Arabidopsis, Agrobacterium transformation",2017002501
115,genes for photosynthesis and growth reporter genes,"tobacco, maize, wheat, Arabidopsis, E. coli, S. cerevisiae","tobacco, maize, wheat, Arabidopsis, E. coli, S. cerevisiae, A. tumefaciens",2017002501
116,"We will use regulatory transcription factors, and the regulatory elements that control their expression (enhancers). Additionally we will also manipulate signaling molecules of the FGF, BMP and Wnt fa",Homo sapiens and Gallus gallus,Chiken embryos will be electroporated with pUC based vectros (pCIG or pCAS). Ocassional use of Avian specific retrovirus ARCAS II may be considered.,2018000302
117,"We will use regulatory transcription factors, and the regulatory elements that control their expression (enhancers). Additionally we will also manipulate signaling molecules of the FGF, BMP and Wnt fa",Homo Sapiens,"Human embryonic stem cells (H1, H9 or iPSCs) will be transfected with 2nd or 3rd generation treplication incompetent lentivirus",2018000302
118,We would like to include the use of CRISPR-mediated DNA modifications to our protocol. This technique enables fast and precise modifications of DNA. We aim to introduce DNA modifications to modulate (,"Multiple origins, however the CRISPR/CAS9 system was derived from Streptococcus pyogenes",Human embryonic stem cells,2018000302
119,fragments of antibody being expressed,chemical synthesis,"E coli, by electroporation",2017002401
120,antibiotic resistant markers,bacteria,E coli,2017002401
121,apolipoprotein B gene as fusion with affinity or chemogenetic ligation tags and luminescent constructs,Human,"Human cell lines as described in ""6""",20180038
122,Chaperone genes as fusion with affinity or chemogenetic ligation tags,Human,"Human cell lines as described in ""6""",20180038
123,"proteostasis factors that impact protein secretion or conformation, either constitutively expressed, expressed under conditional regulation, or as shRNA",human,"Human cell lines as described in ""6""",20180038
124,"Transporters, signaling and secretion molecules, receptors, reporter genes, binding proteins","Insects (mosquitoes, drosophila, lepidopterans), and vertebrates(mouse, rat)","Cultured insect (e.g. Sf21, C6/36) or mammalian cells (e.g. CHO, BHK). Transformation with lipofectin.",20180048
125,"Transporters, signaling and secretion molecules, receptors, binding proteins",Aedes and Drosophila,Aedes and Drosophila. Transformation with p-element or piggyBac vectors along with the appropriate transposase vector,20180048
126,Reporter genes,Cloned from jellyfish and modified to give other fluorescent proteins,Aedes will be transformed by homologous recombination using Crispr/Cas9,20180048
127,Knock out of genes,None,Aedes aegypti using Crispr/Cas9,20180048
128,We also use of Botulinum neurotoxins A and B which are purchased commercially from List Biologicals,,,20180048
129,"Toxins, transporters, signaling and secretion molecules, receptors, reporter genes, binding proteins","Bacteria showing toxicity to insects (Bacillus thuringiensis, Paraclostrium bifermentans, Synthetic DNA).","Into E. coli, Bacillus thuringiensis, Bacillus megaterium, Paralostridium bifermentans and Saccharomyces cerevisiae strains using appropriate vectors using chemical transformation or electroporation",20180048
130,NEOMYCIN PHOSPHOTRANSFERASE CONSTITUTIVELY EXPRESSED.,BACTERIA,ARABIDOPSIS (PLANTS),20190033
131,Genes involved in hormonal metabolism in plants and genes involved in cell-cell communication. Reporter genes.,"Arabidopsis, jellyfish, firefly.","Arabidopsis, onion epidermal cells, e coli and yeast",20190033
132,T4 PNK under T7 promoter,T4 phage,"BL21(DE3) pLySS, E. coli using plasmid by chemical induced transformation",20170034
133,C. elegans proteins under its own promoter,C. elegans,C. elegans using plasmids by microinjection,20170034
134,C. elegans pir-1 protein under T7 promoter,C. elegans,"BL21(DE3) pLySS, E. coli using plasmid by chemical induced transformation",20170034
135,Crispr RNA and cas9 gene,E. coli,"A549 (ATCC CCL-185), plasmid, Lipofectamine 2000 293T (ATCC CRL-3216), plasmid, Lipofectamine 2000",20170034
136,A random peptide library (7-12 mers) will be expressed in the p3 (minor coat protein at virion tip) and/or p8 (major coat protein along length of virus) of the M13 virus. The viral library will be us,M13 filamentous virus,E coli (XL1-Blue or other equivalent high yield electroporation competent cells) will receive the DNA using electroporation.,20190003
137,Modified viral coat protein,M13 filamentous virus,M13 filamentous virus,20190003
138,"Proteins involved in responding to semiochemicals and environmental odors (pheromones, predator odors, odorous chemicals)",Mouse (Mus musculus) and human,"Mouse (Mus musculus); cultured cells and whole animals, E. coli, Human; cultured cells",20190031
139,Fluorescent proteins,Jellyfish,"Mouse (Mus musculus); cultured cells and whole animals, E. coli, Human; cultured cells, Fruit fly; cultured cells",20190031
140,Bioluminescence proteins,"Firefly, sea pansy","E. coli, Human; cultured cells, Fruit fly; cultured cells",20190031
141,Proteins involved in hormone signaling,"Mouse, Human","Mouse (Mus musculus); cultured cells and whole animals, E. coli, Human; cultured cells, Fruit fly; cultured cells",20190031
142,Transcription activator proteins,Yeast,"E. coli, Human; cultured cells, Fruit fly; cultured cells",20190031
143,Encodes viral proteins,Influenza virus,human and mouse cells. E. coli.,20180030
144,"Encodes host proteins. Including interferon, interferon response genes.",human mouse.,human and mouse cells. E. coli. via lentivirus transformation or lipofection transfection.,20180030
145,Encodes variety markers: Fluorescent markers and antibiotic resistance.,"human, jellyfish, mouse",human and mouse cells. E. coli. via lentivirus transformation or lipofection transfection.,20180030
146,"siRNA, shRNA and CRISPR for silencing genes described on other lines.",targeting influenza virus genome and human genes in human or mouse cell lines.,"Human and mouse cell lines, E. coli.",20180030
147,Encodes viral proteins,ZIKA virus,"human, mouse, monkey and mosquito cells. E coli.",20180030
148,Recombinant DNA expression vectors (both replicating and suicide shuttle vectors for integration into target bacterial chromosomes) will be used to express transgenes in bacterial species. Constructs,"Vibrio cholerae C6706, and human commensal microbes including but not limited to Escherichia coli, Ruminococcus obeum, Bacteroides thetaiotaomicron, Bacteroides vulgatus, Bifidobacterium longum, Strep","Escherichia coli K12, Vibrio cholerae C6706, Bacteroides thetaiotaomicron VPI 5482, Bacteroides vulgatus ATCC8482",2018003701
149,"Small RNAs and RNAi machinery regulatory components, fluorescent markers, including GFP, RFP, CFP, YFP, LUC.","Botrytis, and plant hosts, jelly fish.","potato, tomato, tobacco, Arabidopsis, rice, citrus, Botrytis. Agrobacterium-medaited transformation.",2019002101
150,Host genes that are involved in plant responses to bacterial and fungal infection.,"Arabidopsis, tomato, citrus, potato, Botrytis.","Arabidopsis, tomato, citrus, potato.",2019002101
151,"anti-microbial peptide genes such as SAMP, fluorescent markers and tag markers including GFP, RFP, YFP, his tag, FLAG tag, HA tag","Citrus and relative varieties including Citrus spp, Poncirus trifoliata, Microcitrus spp, and Ruta Chalepensis. Solanaceae plants including potato, tomato, pepper, Nicotiana benthamiana","Expersion vector for E.coli, Bacillus. Arabidopsis, citrus, potato, Nicotiana bethamiana",2019002101
152,Proteins of miscellaneous functions for protein-protein interaction studies and antigen production.,Phytophthora spp.,"Saccharomyces cerevisiae, Pichia pastoris, E. coli",20190030
153,"Phytophthora genes induced during the spore cycle, or involved in nutrient acquisition (transporters, metabolic enzymes), or candidates for genes determining fungicide resistance; neomycin phosphotransferase; hygromycin phosphotransferase; fluorescent proteins (including GFP, tdTomato, mScarlet, mCherry, and derivatives)",,Phytophthora or Pythium spp (protoplast transformation or electroporation); E. coli (chemical transformation),20190030
154,"Vectors expressing CRISPR/Cas proteins, along with guide RNAs homologous to Phytophthora genes.",Streptococcus pyogenes and relatives,Phytophthora or Pythium spp (protoplast transformation or electroporation); E. coli (chemical transformation),20190030
155,The TRV-based vector is the silencing-inducer binary vector that contains the TRV cDNA behind the CAMV 35S promoter (2x 35S) and nopaline synthase terminator (NOSt) in a T-DNA vector. This plasmid is,"Tomato, Nicotinina benthamiana and N. tabaccum",Agrobacterium tumefaciens,20170032
156,Genes and DNA (including silencing constructs) involved in aphid interactions with plants.,aphids,aphids,20170032
157,Various plant immune-related genes will be cloned into CRISPR/CAS-9 binary vector,Tomato and Arabidopsis,"Tomato, Arabidopsis, E. coli, Agrobacterium tumefaciens. Constructs will be developed in CRISPR/CAS-9 binary vector, propagated in E. coli, then introduced into tomato or Arabidopsis via Agrobacterium",20170032
158,The Agrobacterium containing the virus vector and the plant genes and DNA involved in plant immunity and defense.,"Tomato, N. benthamiana, N. tabaccum, cowpea and arabidopsis","Tomato, N. benthamiana, cowpea and Arabidopsis",20170032
159,Genes encoding salivary secreted proteins will be cloned into a bacterial vector behind AvrRpm1 promoter and transformed into Pseudomonas syringae or Pseudomonas fluorescens with type three secretion,"Potato aphid Macrosiphum euphorbiae, cowpea aphid Aphis craccivora","The Pseudomonas vector system (pVSP-PsSPdes) will be used to deliver aphid genes into plants (tomato, Arabidopsis, cowpea or N. benthamiana) either by vacuum infiltration, or needle-less syringe or ru",20170032
160,Genes and DNA involved in plant defense and immunity will be cloned behind native promotor of CAMV 35S promotor and nopaline synthase terminator (NOSt) in a T-DNA vector,"Tomato, N. benthamiana, N. tabaccum and arabidopsis",Arabidopsis using Agrobacterium-based floral dip,20170032
161,Fluorescent markers,"Jelly Fish, Stony Coral",E. coli,2016007401
162,synaptic proteins,"mouse, rat",E. coli,2016007401
163,nuclear proteins (not known to be oncogenes),"mouse, rat",E. coli,2016007401
164,gene promoters,"rat, mouse",E. coli,2016007401
165,antibiotic resistance selection markers to grow plasmids in E. coli,bacteria,E. coli,2016007401
166,Bacterial genes such as biotin protein ligase (BirA),E. coli,E. coli,2016007401
167,"opsins for optogenetics,",Chlorophyceae,"AAV virus, HSV virus",2016007401
168,aluminum resistance genes that replaces a defective form in Arabidopsis,Arabidopsis thaliana,"Arabidopsis thaliana, Agrobacterium binary vector, floral dip method",20180049
169,This is DNA for protein expression experiments and generation of a transgene for a collaborating lab to transform into corn,Zea mays,"DNA will be expressed in bacteria using pET22b vector, transgene will be introduced into Zea mays by Agrobacterium-mediated transformation through an off campus collaboration",20180049
170,Zea mays Phosphoenolpyruvate carboxylase responsible for the formation of oxaloacetate in plants. PPC1 and PEP7 will be under the control of their native promoters but will have gain of function mutations that boost their activity and/or reduced their allosteric regulation. Proteins will be produced in planta from these genomic constructs.,Zea mays,"Zea mays, Agrobacterium binary vector pZY101, Agrobacterium based transformation of callus",20180049
171,Vectors including CRISPR-cas 9 vectors will be constructed to target essential genes in Plasmodium. Vector will have a drug selectable markers such as Toxoplasma goodii dihydrofolate reductase (TgDHFR,"Bacteria (E.coli), Plasmodium falciparum, human and Toxoplasma gondii",Species to receive DNA by electroporation are: Bacteria (E.coli) and Plasmodium falciparum.  Type of vectors: pHHT-FCU; pHTK; pL-6 eGFP (CRISPR strategy) and pUF1-Cas9 (CRISPR strategy). CRISPR-cas,2019000401
172,human SUMO gene and sumylation ligases.,Human,"bacterial and human cells, CRL-1573",20180040
173,"Ubiquitin, ubiquitin-related genes, SUMO, SUMO cascade, Nedd8 conjugation genes, ubiquitin-like peptide conjugation genes, Cytokine pathways","human, mouse","yeast, E.coli top10, E.coli BL21, E.coli BL21(DE3)",20180040
174,"Genes which products are substrates of SUMOylation, Ubiquilation and Neddylation.",human and mouse,"human, mouse cells and E.coli by lipofection and electroporation.",20180040
175,Marker genes and antibiotic resistance genes,bacterial and genifish,"Human and mouse cells, and Ecoli by lipofection and electroporation.",20180040
176,"Fruit development genes, fluorescent markers, antibiotic resistance genes, Cas9 (CRISPR technology)","Tomato, desert tobacco, Arabidopsis, members of the tomato family, jellyfish","tomato, desert tobacco",20180028
177,Flower development genes,"Datura, Cestrum","Datura, Cestrum",20180028
178,"p53, TAF1 and several other transcription factors",human,human cell lines by transfection,20180032
179,"p53, TAF1 and several other transcription factors",human,bacteria by transformation of plasmids and insect cells by infection with baculovirus,20180032
180,"conventional recombinant DNA vectors (bacterial plasmids) are being used. In addition, for recombinant protein production, insect cells and baculovirus vectors are being used. The genes used in these","human, mouse, Salmonella typhimurium, E. coli","In some cases, genes will be used to generate transgenic mice, where the genes are stably integrated into the mouse genome, and in other cases they are transfected stably mainly into Caco-2BBe cell li",20190035
181,"Genes encoding pathogen effector proteins are expressed in E. coli to obtain recombinant proteins (e.g. for antibody generation or enzymatic activity assays). They are under commonly used, usually inducible promoters (e.g lacZ) of E. coli.",Pseudomonas syringe; Spiroplasma citri; Candidatus Liberibacter; Phytophthora infestans (an oomycete); Phytophthora sojae (an oomycete); Phytophthora capsici (an oomycete),E. coli strains (e.g. BL21 and DH5a),20180041
182,Genes encoding pathogen effector proteins are expressed in pathogens under their native promoters. Genes encoding pathogen effector proteins are expressed in plants under constitutive plant promoters (ubiquitin promoter) or a viral promoter (35S).,Pseudomonas syringe; Spiroplasma citri; Candidatus Liberibacter; Phytophthora infestans (an oomycete); Phytophthora sojae (an oomycete); Phytophthora capsici (an oomycete),Pseudomonas syringae (PtoDC3000); Agrobacterium tumefaciens; Agrobacterium rhizogenes; Phytophthora capsici; Phytophthora sojae; Arabidopsis; tobacco; soybean; citrus,20180041
183,Plant genes encoding proteins or non-coding RNAs that may regulate defense response. They are under constitutive plant promoters (ubiquitin promoter) or a viral promoter (35S).,"Arabidopsis, citrus, soybean, tobacco","Arabidopsis, citrus, soybean, tobacco",20180041
184,"Genes encoding green, yellow or red fluorescence proteins. They are under constitutive promoters in plants (e.g. ubiquitin promoter, 35S) or Phytophthora (e.g. Ham34).",synthesized,Pseudomonas syringae (PtoDC3000); Agrobacterium tumefaciens; Agrobacterium rhizogenes; Phytophthora capsici; Phytophthora sojae; Arabidopsis; tobacco; soybean; citrus,20180041
185,cloning of coding regions from nematode genomes,"Caenorhabditis elegans and close relatives (C. briggsae, C. brenneri, C. japonica, C. remanei and other unnamed Caenorhabditis species), Pristionchus pacificus.","E. coli will be used to propagate DNA, which is then used to generate RNA probes for in situ hybridization",20170026
186,fusion of gene promoters (and possibly part or all of the gene coding region) with coding sequence from nematode genes and/or for fluorescent proteins,"Nematodes: Caenorhabditis elegans and close relatives (C. briggsae, C. brenneri, C. japonica, C. remanei and other unnamed Caenorhabditis species), Pristionchus pacificus. Fluorescent protein genes we","Escherichia coli will be used to propagate DNA, which is then introduced into C. elegans or other nematodes by microinjection or ballistic transformation.",20170026
187,Heterologous proteins that can modify DNA: Cas9 and expression of the transposase of the mobile element Mos1.,Cas9 is originally from the bacterium S. pyogenes. Mos1 is originally from the arthropod Drosophila Mauritania.,"C. elegans and related species, including C. remanei, C. brenneri, C. briggsae, C. japonica; Pristionchus pacificus.",20170026
188,Fragments of DNA will be amplified from the genome of Steinernema carpocapsae to design reporter transgenes and/or provide repair templates for CRISPR/Cas9-mediated genome editing.,Steinernema carpocapsae,Steinernema carpocapsae,20170026
189,"StMORC1 (XP_006340682) , constitutive induce expression, Tagged with HA epitope, Rifampicin and Kanamycin resistance",Solanum tuberosum,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient portein expression in N. benthamiana.",20180021
190,"SlMORC1 (XP_004232448.1) , constitutive induce expression, Tagged with HA epitope, Rifampicin and Kanamycin resistance",Solanum lycopersicum,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient portein expression in N. benthamiana.",20180021
191,"OsMORC1, Inducible expression, protein Tagged with Myc tag epitope, Rifampicin and Spectinomycin resistance",Oryza sativa,"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. bacteria binary plasmids for Agro-transformation",20180021
192,"NbMORC1 (NbS00050466g0010.1), Inducible expression, protein Tagged with Myc tag epitope, Rifampicin and Spectinomycin resistance",Nicotina benthamiana,"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. bacteria binary plasmids for Agro-transformation",20180021
193,"Phytophthora infestans effectors being constitutively express, effectors are HA tagged or GFP tagged, resistance to Kanamycin and Rifampicin",Phytophthora infestans,"Nicotiana benthamiana, tomato, potato, effectors being constitutively express using Cauliflower mosaic virus (CaMV) 35S promoter-driven TMV, Agrobacterium transient transformation. expression vector.",20180021
194,"Green fluorescence protein (GFP), constitutive express tagged HA, Km and tetracyclin",Aequorea victoria,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana.",20180021
195,"flagellin-sensitive 2 (FLS2) receptor (Solyc02g070890), constituvely express, Rifampicin and kanamycin resistance",Solanum lycopersicum,"N. benthamiana, potato and tomato. Constitutively express using Cauliflower mosaic virus (CaMV) 35S promoter-driven TRV (Tobacco Rattle Virus) expression vector, Agrobacterium transient transformation",20180021
196,"Resistance protein (R1,R2,R3), constitutive express fused with GFP and HA tags. Rifampicin, kanamycin, spectinomycin resistance",Solanum tuberosum,"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. Binary plasmid based on bacteria backbone for prote",20180021
197,"StMORC1 (XP_006340682) ,Inducible expression, protein Tagged with HA epitope, Rifampicin and Spectinomycin resistance",Solanum tuberosum,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. E. coli Bacteria backbone plasmids and bin",20180021
198,"SlMORC1 (XP_004232448.1) , Inducible expression, protein Tagged with HA epitope, Rifampicin and Spectinomycin resistance",Solanum lycopersicum,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. E. coli Bacteria backbone plasmids and bin",20180021
199,"StMORC1 (XP_006340682) ,Inducible expression, protein Tagged with Myc tag epitope, Rifampicin and Spectinomycin resistance",Solanum tuberosum,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. E. coli Bacteria backbone plasmids and bin",20180021
200,"SlMORC1 (XP_004232448.1) , Inducible expression, protein Tagged with Myc tag epitope, Rifampicin and Spectinomycin resistance",Solanum lycopersicum,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. E. coli Bacteria backbone plasmids and bin",20180021
201,"AtMORC1 (AT4G36290.1), Inducible expression, protein Tagged with Myc tag epitope, Rifampicin and Spectinomycin resistance",Arabidopsis thaliana,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. E. coli Bacteria backbone plasmids and bin",20180021
202,"HvMORC1(AK364522), Inducible expression, protein Tagged with Myc tag epitope, Rifampicin and Spectinomycin resistance",Hordeum vulgare L (barley),"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. E. coli Bacteria backbone plasmids and binary plasm",20180021
203,"ZmMORC1(AFW57367.1), Inducible expression, protein Tagged with Myc tag epitope, Rifampicin and Spectinomycin resistance",Zea mays (corn),"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. bacteria binary plasmids for Agro-transformation",20180021
204,"EC1 (E.coli fragment 1), constituvely express, Rifampicin and kanamycin resistance",Escherichia coli,"N. benthamiana, potato and tomato. Constitutively express using Cauliflower mosaic virus (CaMV) 35S promoter-driven TRV (Tobacco Rattle Virus) expression vector, Agrobacterium transient transformation",20180021
205,"AVR1 effector of P. infestans fused with Nuclear localization signal (NLS) and nuclear export signal (NES) fused also with GFP. Constitutive express, Rifampicin, kanamycin and Spectinomycin resistance",P. infestans,"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. Binary plasmid based on bacteria backbone for prote",20180021
206,"Resistance protein 1 (R1) fused with Nuclear localization signal (NLS) and nuclear export signal (NES) fused also with GFP. Constitutive express, Rifampicin, kanamycin and Spectinomycin resistance",Solanum tuberosum,"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. Binary plasmid based on bacteria backbone for prote",20180021
207,"Phytoene desaturase (PDS), constituvely express, Rifampicin and kanamycin resistance",Solanum lycopersicum,"N. benthamiana, potato and tomato. Constitutively express using Cauliflower mosaic virus (CaMV) 35S promoter-driven TRV (Tobacco Rattle Virus) expression vector, Agrobacterium transient transformation",20180021
208,"NbMORC1 fragment, constituvely express, Rifampicin and kanamycin resistance",N. benthamiana,"N. benthamiana, potato and tomato. Constitutively express using Cauliflower mosaic virus (CaMV) 35S promoter-driven TRV (Tobacco Rattle Virus) expression vector, Agrobacterium transient transformation",20180021
209,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 (BAK1) Solyc10g047140, constituvely express, Rifampicin and kanamycin resistance",Solanum lycopersicum,"N. benthamiana, potato and tomato. Constitutively express using Cauliflower mosaic virus (CaMV) 35S promoter-driven TRV (Tobacco Rattle Virus) expression vector, Agrobacterium transient transformation",20180021
210,"Resistance protein x (Rx), constitutive express, Km resistance",Solanum tuberosum,"N. benthamiana, potato and tomato. Constitutively express using Cauliflower mosaic virus (CaMV) 35S promoter-driven bacteria expression vector, Agrobacterium transient transformation.",20180021
211,"AvrPtoB, Bacterial effector protein that suppress plant immune response",Pseudomonas siringae pv tomato,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient portein expression in N. benthamiana.",20180021
212,AvrB bacterial effector protein,Pseudomonas siringae pv tomato,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient portein expression in N. benthamiana.",20180021
213,AvrRpm1 bacterial effector,Pseudomonas siringae pv tomato,"E. coli, A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient portein expression in N. benthamiana.",20180021
214,"SlySBP8b, Squamose promoter binding proteins 8b",Solanum lycopersicum,"A. tumefaciens, Nicotiana benthamiana, electroporation and Agrobacterium-mediated transformation for transient protein expression in N. benthamiana. bacteria binary plasmids for Agro-transformation",20180021
215,Myc cDNA (and other transcription factors of no known pathonegic activity),human and mouse,"E. coli (inducible T7 bacterial expression vectors), Insect Sf9/Sf21 cells (baculovirus expression vectors), human cell lines and other mammalian cell lines (CMV promoter-based plasmid expression vect",20170011
216,DNA oligonucleotides encoding small interfering RNAs (siRNAs) directed against human/mouse/monkey mRNAs encoding Myc and other transcription factors.,synthetic,"Cultured human and other mammalian cell lines (HeLa, HL60, 293, IMR90, COS-7) will be transfected with liposomes or transduced with replication-defective adenoviral particles.",20170011
217,Expression vectors for cDNAs encoding MYC and other transcription regulatory proteins.,Human or rodent,"Common cultured mammalian cell lines including human cell lines (listed in previous sections), liposome transfection or transduction with replication-defective adenoviral or retroviral/lentiviral part",20170011
218,long non-coding RNAs,human and mouse,"Transfection of mammalian cells in culture, transformation of E.coli",20170011
219,CRISPR/CAS expression vectors for guide RNAs and Cas9 nuclease,Bacterial,mammalian cells (including mouse and human cell lines) described in materials section.,20170011
220,Luciferase gene driven by various versions of chemokine promoters,Bacteria,"Cultured mammalian cells. Plasmid DNA vector will be transfect into the cultured cells. Liposome-based transient transfection will be used, and transfected cells will be lysed for cell extracts.",20180008
221,"genes involved in adhesion, others involved in migration, others involved in cell division.","human, mouse, rat, rabbit","human cells, mouse cells, rat cells, E. coli, yeast, insect cell lines, using lipofectin or calcium phosphate or other commercially available non-viral transformation methods.",20180008
222,Luciferase gene driven by various versions of chemokine promoters,Jelly Fish,"Cultured mammalian cells. Plasmid DNA vector will be transfect into the cultured cells. Liposome-based transient transfection will be used, and transfected cells will be lysed for cell extracts.",20180008
223,"Components of mitochondrial and cytosolic ribosomes, translational activators, subunits of mitochondrial electron transport complexes",Trypanosoma brucei,Trypanosoma brucei,20180039
224,"This species is intended for storage in liquid nitrogen, no plans to perform experiments within the next two years.",Leishmania tarentolae,Leishmania tarentolae,20180039
225,"We will track the movement of bacterial molecules into host cells using approaches including the use of methionine analogs AHA and ANL, the latter of which requires bacteria be transformed with the pAM1 plasmid, which contains a modified version of methionyl-tRNA synthetase gene.",Escherichia coli,"Clostridium ramosum, Bacteroides vulgatus, Clostridium innocuum, Lactobacillus johnsonii, Lactobacillus animalis, Escherichia coli, Enterococcus faecium, pAm1 plasmid. Transformation method: Electroporation",20190028
226,"Our work focuses on the Protein Tyrosine Phosphatase N2 (PTPN2) gene that has been identified as a genetic marker associated with several diseases like IBD, type 1 diabetes, and celiac disease","-pLK).1 (control or PTPN2, both commercially available) -Envelope and packaging plasmid will be obtained/gifted from James R. Goldenring, Vanderbilt University, Nashville.)","cultured epithelial cells (Caco2, T84, HT-29)",20190028
227,Lentiviral packaging,pMD2.G (lentiviral ENV plasmid) and pR8.2 (lentiviral packaging plasmid) from Addgene,Retrovirus-based plasmid,20190028
228,For Universal bacteria we clone 16S.,Lactobacillus kunkeei,We use an invitrogen Topo TA kit to clone the PCR 4-topo vector into Top10 E. coli cells.,20170047
229,"For Lactobacillus, we clpne part (125 bases) of the TefG gene.",Lactobacillus kunkeei,We use an invitrogen Topo TA kit to clone the PCR 4-topo vector into Top10 E. coli cells.,20170047
230,"For deformed wing virus, we clone a portion of the RNA dependent RNA polymerase.",Deformed Wing Virus from Honey bees,We use an invitrogen Topo TA kit to clone the PCR 4-topo vector into Top10 E. coli cells.,20170047
231,"We only make recombinant DNA in order to create a standard curve for absolute quantitative PCR. We therefore clone a PCR product of a partial marker gene. For Fungi, we clone part of the Internal Tran",Ascosphaera aggregata,We use an invitrogen Topo TA kit to clone the PCR 4-topo vector into Top10 E. coli cells.,20170047
232,"karrikin or strigolactone receptors/effectors expressed by native plant or constitutive 35S promoters, with or without common fusions such as GFP, yeast two-hybrid GAL4 fragments, epitope tags for pro","Arabidopsis thaliana and other plants e.g. lettuce, cotton, native fire following species, Striga spp., Orobanche spp.; Photinus pyralis (firefly); Aequorea victoria (jellyfish)","E. coli, binary transformation vector, electroporation or chemical transformation Saccharomyces cerevisiae (yeast), yeast expression or yeast two-hybrid vector, PEG/LiAc-mediated transformation Agro",20190020
233,karrikin or strigolactone signaling components under control of inducible promoters (e.g. galactose or IPTG inducible),"Arabidopsis thaliana and other plants e.g. lettuce, cotton, native fire following species, Striga spp., Orobanche spp.","E. coli, protein expression vector, electroporation or chemical transformation yeast, protein expression vector, PEG/LiAc-mediated transformation",20190020
234,"guide RNAs for CRISPR/Cas9-mediated genome editing, under control of tissue-specific or constitutive promoters",synthetic DNA to match plant sequences; Streptococcus pyogenes (source of most CRISPR/Cas9 sequences),"Arabidopsis thaliana, binary transformation vector, Agrobacterium tumefaciens-mediated transformation",20190020
235,Transcript containing the full-length genomic RNA of Cucurbit yellow stunting disorder virus (CYSDV) is expressed behind the Cauliflower mosaic virus 35S promoter. The initial transcript includes the,Cucurbit yellow stunting disorder virus,"Agrobacterium tumeficiens, binary plasmid, heat shock transformation",20190007
236,Cell wall methyltransferase gene candidates expressed behind the cauliflower mosaic virus 35S promoter with a selectable marker (kanamycin resistance or similar) gene,Physcomitrella patens (a moss),"Nicotiana tabacum (tobacco), using Agrobacterium-mediated transformation with pART27 or similar binary vector as performed at the UCR Plant Transformation Research Center",20170019
237,Cell wall methyltransferase genes modified by excision of the transmembrane domain and addition of an N-terminal peptide sequence for affinity purification of the protein,Physcomitrella patens (a moss),"E. coli strain JM83 (ATCC 35607), using the pASK-IBA16 or similar plasmid as the vector, introduced into the E. coli by chemical transformation or electroporation",20170019
238,Cell wall methyltransferase genes modified by excision of a segment of the open reading frame and replacement with a selectable marker (hygromycin phosphotransferase or similar) driven by the cauliflower mosaic virus 35S promoter,Physcomitrella patens (a moss),"Physcomitrella patens, using polyethylene glycol-mediated transformation of protoplasts with linearized DNA and the native homologous recombination process of the moss",20170019
